Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassBase
Public Class,"org.apache.maven.artifact.handler.manager.DefaultArtifactHandlerManager",maven-maven-3.0/maven-core/src/main/java/org/apache/maven/artifact/handler/manager/DefaultArtifactHandlerManager.java,1,1,1,1,8,1,7,0,2,2,0,,0,0,,,,3,2,3,3,0,0,0,3,,43,,,,9,,,,29,,,10,9,5,,,,,,,8,14,7,,,7,,,,,,,,3,3,3,1,,1,2,,33,33,0.17,5,5,5,3,2
Public Method,"org.apache.maven.artifact.handler.manager.DefaultArtifactHandlerManager.addHandlers",maven-maven-3.0/maven-core/src/main/java/org/apache/maven/artifact/handler/manager/DefaultArtifactHandlerManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,0,,,,4,,,1,1,1,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.25,1,1,1,1,
Public Method,"org.apache.maven.artifact.handler.manager.DefaultArtifactHandlerManager.getArtifactHandler",maven-maven-3.0/maven-core/src/main/java/org/apache/maven/artifact/handler/manager/DefaultArtifactHandlerManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,3,,,,13,,,2,6,0,,,,3,3,0,4,7,2,,,5,,,3,3,3,1,0,,,,,0,,2,0,,,0.00,3,3,3,1,
Public Method,"org.apache.maven.artifact.handler.manager.DefaultArtifactHandlerManager.getHandlerTypes",maven-maven-3.0/maven-core/src/main/java/org/apache/maven/artifact/handler/manager/DefaultArtifactHandlerManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Package,"org.apache.maven.artifact.installer",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstallationException.java,1,1,1,1,13,1,11,0,,,,4,0,0,,4,,10,4,10,,2,0,2,6,,302,,,,39,,,,151,,,78,44,112,,,,,,,72,91,62,,,29,,,,,,,,7,7,8,1,,,2,,,,0.74,14,14,15,8,
Public Class,"org.apache.maven.artifact.installer.ArtifactInstallationException",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstallationException.java,1,1,1,1,4,0,4,0,0,0,0,,0,0,,,,3,0,3,3,0,0,0,3,,23,,,,2,,,,17,,,6,3,4,,,,,,,3,7,4,,,3,,,,,,,,1,1,1,1,,2,0,,0,0,0.24,3,3,3,3,1
Public Constructor,"org.apache.maven.artifact.installer.ArtifactInstallationException.ArtifactInstallationException",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstallationException.java,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Public Constructor,"org.apache.maven.artifact.installer.ArtifactInstallationException.ArtifactInstallationException",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstallationException.java,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Public Constructor,"org.apache.maven.artifact.installer.ArtifactInstallationException.ArtifactInstallationException",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstallationException.java,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,0,,,,5,,,2,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Public Interface,"org.apache.maven.artifact.installer.ArtifactInstaller",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstaller.java,0,0,0,0,0,0,0,0,3,3,1,,0,0,,,,2,1,2,2,2,0,0,0,,35,,,,2,,,,9,,,7,1,24,,,,,,,3,4,4,,,0,,,,,,,,0,0,0,0,,0,0,,0,0,2.67,0,0,0,0,0
