Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Static Function,"getstd",mpv-0.3.0/stream/tvi_v4l2.c,,,,3,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,3,27,3,4,0,0,0,2,3,0,15,9,3,0,6,3,3,3,3,3,,,,,3,,2,3,,0.00,,,,
Function,"glAdjustAlignment",mpv-0.3.0/video/out/gl_common.c,,,,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,0,14,1,0,0,0,0,0,1,0,7,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"glAutodetectYUVConversion",mpv-0.3.0/video/out/vo_opengl_old.c,,,,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0,13,2,3,0,0,0,2,5,1,6,10,1,0,9,5,5,5,5,4,,,,,4,,1,4,,0.00,,,,
Function,"glCheckError",mpv-0.3.0/video/out/gl_common.c,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,2,0,0,0,0,3,0,5,5,0,3,2,3,3,3,3,2,,,,,2,,2,2,,0.00,,,,
Function,"glClearTex",mpv-0.3.0/video/out/gl_common.c,,,,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21,0,21,5,19,0,0,0,8,5,1,12,13,4,0,9,5,5,5,1,2,,,,,0,,1,0,,0.00,,,,
Static Function,"glCreateClearTex",mpv-0.3.0/video/out/vo_opengl_old.c,,,,0,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32,0,30,6,10,2,0,0,4,8,1,20,13,3,0,10,4,4,4,1,1,,,,,0,,1,0,,0.07,,,,
Static Function,"glCreatePPMTex",mpv-0.3.0/video/out/vo_opengl_old.c,,,,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29,0,29,4,11,0,0,0,5,17,1,16,17,5,0,12,6,6,8,1,1,,,,,0,,1,0,,0.00,,,,
Function,"glDisable3D",mpv-0.3.0/video/out/gl_common.c,,,,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0,27,1,6,0,0,0,0,3,0,11,8,0,2,6,4,2,4,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"glDisableYUVConversion",mpv-0.3.0/video/out/vo_opengl_old.c,,,,0,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,0,29,1,11,3,0,0,1,4,1,17,15,0,3,12,8,2,8,1,3,,,,,0,,1,0,,0.10,,,,
Function,"glDownloadTex",mpv-0.3.0/video/out/gl_common.c,,,,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,7,2,1,1,0,0,1,1,0,3,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.14,,,,
Static Function,"glDrawTex",mpv-0.3.0/video/out/vo_opengl_old.c,,,,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,47,0,47,5,9,0,0,0,1,64,2,30,9,2,0,7,7,7,7,1,0,,,,,0,,1,0,,0.00,,,,
Function,"glEnable3DLeft",mpv-0.3.0/video/out/gl_common.c,,,,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,0,28,1,7,0,0,0,0,4,1,12,10,0,3,7,4,2,4,1,3,,,,,0,,1,0,,0.00,,,,
Function,"glEnable3DRight",mpv-0.3.0/video/out/gl_common.c,,,,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,0,28,1,7,0,0,0,0,4,1,12,10,0,3,7,4,2,4,1,3,,,,,0,,1,0,,0.00,,,,
Static Function,"glEnableYUVConversion",mpv-0.3.0/video/out/vo_opengl_old.c,,,,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,0,28,1,10,0,0,0,0,4,1,16,14,0,3,11,8,2,8,1,3,,,,,0,,1,0,,0.00,,,,
Static Function,"glFindFormat",mpv-0.3.0/video/out/vo_opengl_old.c,,,,2,100,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,109,2,85,4,38,3,15,6,2,42,2,65,49,2,12,35,16,4,16,14,83,,,,,82,,2,82,,0.04,,,,
Function,"glFmt2bpp",mpv-0.3.0/video/out/gl_common.c,,,,0,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,0,40,2,2,1,0,0,2,1,0,14,2,1,0,1,1,1,1,1,0,,,,,0,,0,0,,0.03,,,,
Function,"glGetWindowScreenshot",mpv-0.3.0/video/out/gl_common.c,,,,0,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,0,16,3,1,2,0,0,1,1,0,11,3,2,0,1,1,1,1,1,0,,,,,0,,0,0,,0.12,,,,
Static Function,"glSetupYUVConversion",mpv-0.3.0/video/out/vo_opengl_old.c,,,,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,26,0,26,2,19,0,0,0,6,20,1,10,21,0,0,21,10,4,10,1,10,,,,,0,,1,0,,0.00,,,,
Static Function,"glSetupYUVFragmentATI",mpv-0.3.0/video/out/vo_opengl_old.c,,,,2,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,88,2,86,22,29,0,0,0,5,3,0,41,13,4,0,9,3,3,3,3,3,,,,,3,,2,3,,0.00,,,,
Static Function,"glSetupYUVFragprog",mpv-0.3.0/video/out/vo_opengl_old.c,,,,5,96,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,107,5,96,26,106,6,0,0,10,184,2,64,74,20,0,54,12,9,12,1,12,,,,,0,,2,0,,0.06,,,,
Function,"glUploadTex",mpv-0.3.0/video/out/gl_common.c,,,,0,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,24,0,23,5,12,1,0,0,1,9,1,13,14,2,1,11,5,5,6,1,1,,,,,0,,1,0,,0.04,,,,
Static Function,"glYUVLargeRange",mpv-0.3.0/video/out/vo_opengl_old.c,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,11,1,7,0,0,0,1,2,0,2,7,0,0,7,5,2,5,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"gl_clear",mpv-0.3.0/video/out/gl_cocoa.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,1,0,0,0,0,1,0,3,1,1,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"gl_error_to_string",mpv-0.3.0/video/out/gl_common.c,,,,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,1,0,0,0,0,1,1,0,6,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Struct,"gl_function",mpv-0.3.0/video/out/gl_common.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,,,,0,3,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,3,3,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Struct,"gl_functions",mpv-0.3.0/video/out/gl_common.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,,,,,,0,6,0,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,6,6,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Struct,"gl_hwdec",mpv-0.3.0/video/out/gl_common.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,,0,0,,,,,,0,6,0,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,8,8,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Struct,"gl_hwdec_driver",mpv-0.3.0/video/out/gl_common.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0,,0,0,,,,,,0,8,0,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,8,8,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
