Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Constructor,"org.apache.maven.session.scope.internal.SessionScopeModule.SessionScopeModule",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/session/scope/internal/SessionScopeModule.java,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,0,,,,5,,,2,1,0,,,,3,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Constructor,"org.apache.maven.session.scope.internal.SessionScopeModule.SessionScopeModule",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/session/scope/internal/SessionScopeModule.java,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,0,,,,4,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Protected Method,"org.apache.maven.session.scope.internal.SessionScopeModule.configure",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/session/scope/internal/SessionScopeModule.java,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,1,,,,6,,,1,3,0,,,,6,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Package,"org.apache.maven.settings",maven-maven-3.3.0/apache-maven/src/test/java/org/apache/maven/settings/GlobalSettingsTest.java,1,1,1,1,17,2,13,1,,,,,8,9,5,,8,,31,11,40,,5,9,3,23,,1022,,,,165,,,,604,,,224,300,254,,,,,,,341,419,199,,,220,,,,,,,,9,9,9,1,,,2,,,,0.42,65,65,65,35
Public Class,"org.apache.maven.settings.DefaultMavenSettingsBuilder",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/DefaultMavenSettingsBuilder.java,1,1,1,1,14,1,10,3,2,7,7,0,,0,0,,,,7,1,7,7,0,2,0,5,,121,,,,17,,,,80,,,26,34,24,,,,,,,28,39,15,,,24,,,,,,,,3,3,3,1,,2,2,,85,14,0.30,10,10,10,7
Private Method,"org.apache.maven.settings.DefaultMavenSettingsBuilder.build",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/DefaultMavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,,,,0,,,,12,,,2,4,0,,,,5,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,"org.apache.maven.settings.DefaultMavenSettingsBuilder.buildSettings",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/DefaultMavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,1,,,,8,,,4,3,0,,,,3,1,0,2,3,2,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.maven.settings.DefaultMavenSettingsBuilder.buildSettings",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/DefaultMavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,0,,,,5,,,2,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.maven.settings.DefaultMavenSettingsBuilder.buildSettings",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/DefaultMavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,,,,1,,,,12,,,5,7,0,,,,7,1,0,6,7,3,,,4,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.maven.settings.DefaultMavenSettingsBuilder.buildSettings",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/DefaultMavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,2,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.maven.settings.DefaultMavenSettingsBuilder.buildSettings",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/DefaultMavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,1,,,,10,,,3,6,1,,,,10,1,0,6,7,2,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.10,1,1,1,1
Private Method,"org.apache.maven.settings.DefaultMavenSettingsBuilder.getFile",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/DefaultMavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,5,46,,,,5,,,,21,,,3,12,20,,,,5,3,0,9,12,3,,,9,,,3,3,3,1,1,,,,,0,,2,0,,,0.95,3,3,3,1
Public Class,"org.apache.maven.settings.GlobalSettingsTest",maven-maven-3.3.0/apache-maven/src/test/java/org/apache/maven/settings/GlobalSettingsTest.java,1,1,1,1,18,2,16,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,29,,,,4,,,,20,,,7,8,5,,,,,,,6,9,5,,,4,,,,,,,,1,1,1,1,,2,1,,0,0,0.25,1,1,1,1
Public Method,"org.apache.maven.settings.GlobalSettingsTest.testValidGlobalSettings",maven-maven-3.3.0/apache-maven/src/test/java/org/apache/maven/settings/GlobalSettingsTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,2,,,,16,,,5,8,0,,,,6,1,0,6,8,4,,,4,,,1,1,1,1,0,,,,,0,,1,0,,,0.00,1,1,1,1
Public Interface,"org.apache.maven.settings.MavenSettingsBuilder",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/MavenSettingsBuilder.java,0,0,0,0,0,0,0,0,0,1,1,1,,0,0,,,,5,4,5,5,5,0,0,0,,53,,,,8,,,,17,,,15,4,28,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,0,0,,0,0,1.65,0,0,0,0
Abstract Method,"org.apache.maven.settings.MavenSettingsBuilder.buildSettings",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/MavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,0,,,,2,,,2,0,0,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,0.00,0,0,0,0
Abstract Method,"org.apache.maven.settings.MavenSettingsBuilder.buildSettings",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/MavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,0,,,,2,,,2,0,5,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,2.50,0,0,0,0
Abstract Method,"org.apache.maven.settings.MavenSettingsBuilder.buildSettings",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/MavenSettingsBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,0,,,,2,,,2,0,6,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,3.00,0,0,0,0
