Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"src/main/radclient.c",0,0,0,203,895,297,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,1375,,,,202,,,,828,,,42,17,289,,,,45,32,,,,526,42,42,,,0,0,,,,,,,,0,0,0,0,,,0,,,,0.35,0,0,0,0
File,"src/main/radconf2xml.c",3,18,0,19,86,30,3,3,3,2,21,3,18,0,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,135,,,,19,,,,81,,,29,21,30,,,,1,5,,,,44,51,31,,,0,20,,,,,,,,7,7,8,5,,,2,,,,0.37,10,10,11,8
File,"src/main/radiusd.c",63,291,90,88,386,139,22,22,23,3,440,63,225,90,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,609,,,,87,,,,278,,,63,35,135,,,,50,65,,,,204,104,66,,,0,38,,,,,,,,22,22,23,3,,,2,,,,0.49,22,22,23,3
File,"src/main/radmin.c",0,4,0,127,528,95,1,1,1,1,4,0,4,0,,,,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,737,,,,109,,,,411,,,14,4,86,,,,114,53,,,,276,17,16,,,0,1,,,,,,,,1,1,1,1,,,0,,,,0.21,2,2,2,2
File,"src/main/radsniff.c",10,45,13,95,442,127,6,6,7,3,67,10,45,13,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,647,,,,95,,,,409,,,53,25,127,,,,9,24,,,,243,96,59,,,1,36,,,,,,,,13,13,13,7,,,3,,,,0.31,25,25,26,14
File,"src/main/radwho.c",1,9,1,67,357,101,2,2,2,1,11,1,8,1,,,,,0,,,,,,,6,,,,,,,,,,,,,,,,,,,520,,,,66,,,,340,,,37,32,101,,,,8,11,,,,190,63,39,,,0,24,,,,,,,,7,7,7,4,,,2,,,,0.30,14,14,14,9
File,"src/main/realms.c",17,84,11,423,1729,331,5,5,5,4,111,8,28,4,,,,,0,,,,,,,8,,,,,,,,,,,,,,,,,,,2467,,,,91,,,,234,,,45,57,61,,,,2030,115,,,,849,120,45,,,1,74,,,,,,,,21,21,22,21,,,3,,,,0.26,41,41,43,37
File,"src/main/session.c",0,7,0,28,147,72,1,1,1,1,7,0,7,0,,,,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,244,,,,6,,,,14,,,8,2,22,,,,194,19,,,,76,6,4,,,0,2,,,,,,,,1,1,1,1,,,0,,,,1.57,2,2,2,2
File,"src/main/soh.c",9,49,15,77,375,200,2,2,2,1,73,9,49,15,,,,,0,,,,,,,7,,,,,,,,,,,,,,,,,,,649,,,,77,,,,373,,,54,8,200,,,,0,2,,,,268,62,53,,,0,9,,,,,,,,5,5,5,4,,,1,,,,0.54,11,11,11,10
File,"src/main/stats.c",0,0,0,130,616,122,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,860,,,,3,,,,1,,,0,0,23,,,,830,87,,,,258,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,23.00,0,0,0,0
