Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Static Function,"f_wildmenumode",neovim-0.2.0/src/nvim/eval.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,5,,,1,2,0,,,,0,0,3,2,0,1,2,0,,,0,2,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Static Function,"f_win_findbuf",neovim-0.2.0/src/nvim/eval.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,0,,,,5,,,2,2,0,,,,0,0,2,1,0,2,3,1,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"f_win_getid",neovim-0.2.0/src/nvim/eval.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,2,1,0,,,,0,0,4,1,0,1,2,1,,,0,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"f_win_gotoid",neovim-0.2.0/src/nvim/eval.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,2,1,0,,,,0,0,4,1,0,1,2,1,,,0,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"f_win_id2tabwin",neovim-0.2.0/src/nvim/eval.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,0,,,,5,,,2,2,0,,,,0,0,2,1,0,2,3,1,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"f_win_id2win",neovim-0.2.0/src/nvim/eval.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,2,1,0,,,,0,0,4,1,0,1,2,1,,,0,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"f_winbufnr",neovim-0.2.0/src/nvim/eval.c,,,,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,1,,,,9,,,2,4,0,,,,0,0,3,2,0,4,4,1,,,0,3,,,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"f_wincol",neovim-0.2.0/src/nvim/eval.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,0,,,,5,,,2,2,0,,,,0,0,4,1,0,2,3,1,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"f_winheight",neovim-0.2.0/src/nvim/eval.c,,,,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,1,,,,9,,,2,4,0,,,,0,0,3,2,0,4,4,1,,,0,3,,,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"f_winline",neovim-0.2.0/src/nvim/eval.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,0,,,,5,,,1,2,0,,,,0,0,4,1,0,2,2,0,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
