,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
14,neovim-0.2.0/src/nvim/diff.c,neovim-0.2.0/src/nvim/diff.c,7.0,44.0,8.0,322.0,1772.0,525.0,10.0,10.0,12.0,5.0,59.0,7.0,43.0,7.0,0.0,39.0,2594,321,1686,1110.0,2104.0,519,37.0,57.0,844.0,1326,308,17.0,1001,51.0,51.0,57.0,24.0,7,0.31,401.0,401.0,484.0,208.0,59,2612,340,24,1
15,neovim-0.2.0/src/nvim/digraph.c,neovim-0.2.0/src/nvim/digraph.c,6.0,31.0,3.0,89.0,1701.0,145.0,6.0,6.0,8.0,3.0,40.0,6.0,31.0,3.0,0.0,10.0,1872,89,1676,1453.0,1860.0,145,1.0,25.0,187.0,285,91,3.0,191,13.0,13.0,19.0,9.0,4,0.09,61.0,61.0,82.0,34.0,32,1882,99,16,1
16,neovim-0.2.0/src/nvim/edit.c,neovim-0.2.0/src/nvim/edit.c,5.0,41.0,10.0,879.0,6017.0,2079.0,10.0,9.0,15.0,4.0,54.0,5.0,41.0,10.0,0.0,140.0,8638,878,5917,8364.0,8623.0,2079,9.0,93.0,2979.0,4656,1008,38.0,3610,141.0,81.0,156.0,78.0,9,0.35,1455.0,1277.0,2086.0,576.0,168,10734,2975,40,0
17,neovim-0.2.0/src/nvim/eval.c,neovim-0.2.0/src/nvim/eval.c,33.0,239.0,50.0,2352.0,16796.0,3806.0,6.0,6.0,8.0,2.0,317.0,32.0,234.0,49.0,0.0,617.0,22544,2323,16323,21272.0,22473.0,3770,329.0,230.0,8308.0,12653,3545,89.0,9019,94.0,94.0,185.0,44.0,7,0.23,3676.0,3492.0,4738.0,1698.0,814,37820,17611,79,1
18,neovim-0.2.0/src/nvim/eval/decode.c,neovim-0.2.0/src/nvim/eval/decode.c,0.0,152.0,3.0,23.0,981.0,111.0,29.0,22.0,37.0,16.0,156.0,0.0,151.0,3.0,0.0,6.0,1105,23,950,157.0,876.0,111,3.0,29.0,411.0,561,142,2.0,417,82.0,55.0,94.0,52.0,6,0.12,176.0,133.0,223.0,98.0,43,1790,708,2,1
19,neovim-0.2.0/src/nvim/eval/encode.c,neovim-0.2.0/src/nvim/eval/encode.c,0.0,44.0,1.0,87.0,823.0,85.0,9.0,7.0,11.0,3.0,45.0,0.0,44.0,1.0,0.0,9.0,993,87,634,92.0,713.0,85,1.0,189.0,273.0,292,89,2.0,201,25.0,13.0,32.0,8.0,4,0.13,82.0,64.0,101.0,29.0,50,1813,907,4,1
20,neovim-0.2.0/src/nvim/eval/executor.c,neovim-0.2.0/src/nvim/eval/executor.c,2.0,87.0,4.0,7.0,98.0,13.0,22.0,14.0,29.0,12.0,93.0,2.0,87.0,4.0,0.0,1.0,118,7,89,14.0,61.0,13,1.0,9.0,35.0,63,15,0.0,48,22.0,14.0,29.0,12.0,5,0.15,22.0,14.0,29.0,12.0,5,119,8,1,1
21,neovim-0.2.0/src/nvim/eval/gc.c,neovim-0.2.0/src/nvim/eval/gc.c,0.0,0.0,0.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,2,0.0,1.0,4,1.0,5.0,2.0,2,2,0.0,0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,2,11,0,1,0
22,neovim-0.2.0/src/nvim/eval/typval.c,neovim-0.2.0/src/nvim/eval/typval.c,1.0,17.0,1.0,220.0,1711.0,653.0,4.0,3.0,5.0,2.0,19.0,1.0,17.0,1.0,0.0,88.0,2581,220,1609,279.0,1439.0,653,1.0,102.0,672.0,1130,287,1.0,842,29.0,21.0,32.0,12.0,6,0.41,377.0,291.0,431.0,190.0,47,2558,197,2,0
23,neovim-0.2.0/src/nvim/event/libuv_process.c,neovim-0.2.0/src/nvim/event/libuv_process.c,1.0,16.0,1.0,13.0,74.0,5.0,3.0,3.0,3.0,1.0,17.0,1.0,14.0,0.0,0.0,4.0,92,13,57,11.0,12.0,3,6.0,14.0,32.0,23,11,0.0,12,6.0,6.0,6.0,1.0,1,0.05,10.0,10.0,10.0,4.0,9,102,23,7,1
