,Name,NumRevision,NumAdded,NumDeleted,NumAuthor,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassCoupledamin,CountDeclClassMethodamin,CountDeclClassVariableamin,CountDeclMethodAllamin,CountDeclMethodPrivateamin,CountDeclMethodPublicamin,MaxInheritanceTreeamin,PercentLackOfCohesionamin,CountDeclInstanceMethodamin,CountDeclInstanceVariableamin,CountClassCoupledamax,CountDeclClassMethodamax,CountDeclClassVariableamax,CountDeclMethodAllamax,CountDeclMethodPrivateamax,CountDeclMethodPublicamax,MaxInheritanceTreeamax,PercentLackOfCohesionamax,CountDeclInstanceMethodamax,CountDeclInstanceVariableamax,CountClassCoupledaverage,CountDeclClassMethodaverage,CountDeclClassVariableaverage,CountDeclMethodAllaverage,CountDeclMethodPrivateaverage,CountDeclMethodPublicaverage,MaxInheritanceTreeaverage,PercentLackOfCohesionaverage,CountDeclInstanceMethodaverage,CountDeclInstanceVariableaverage,Label
0,maven-maven-3.3.0/maven-settings-builder/src/test/java/org/apache/maven/settings/validation/DefaultSettingsValidatorTest.java,3,196,15,1,1.0,1.0,1.0,1.0,14.0,1.0,13.0,0.0,2.0,0.0,0.0,10.0,10.0,10.0,2.0,10.0,0.0,1.0,2.0,7.0,211,30,160,58.0,103.0,26,109.0,121,49,72,1.0,1.0,1.0,1.0,0,0.16,10,10,10,10,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,1.0,6.0,2.0,11.0,9.0,1.0,1.5,0.0,0.0,5.0,0.5,3.5,1.5,5.5,5.0,1.0,0
1,maven-maven-3.3.0/maven-settings-builder/src/test/java/org/apache/maven/settings/building/DefaultSettingsBuilderFactoryTest.java,1,44,0,1,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,53,9,23,11.0,9.0,21,12.0,15,9,6,1.0,1.0,1.0,1.0,0,0.91,2,2,2,2,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0
2,maven-maven-3.3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/DefaultSettingsDecryptionRequest.java,3,105,4,3,1.0,1.0,1.0,1.0,8.0,0.0,5.0,2.0,1.0,0.0,0.0,8.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,8.0,120,19,59,23.0,14.0,42,21.0,32,18,14,2.0,2.0,2.0,1.0,1,0.71,10,10,10,8,0.0,0.0,0.0,8.0,0.0,8.0,1.0,62.0,8.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,62.0,8.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,62.0,8.0,2.0,0
3,maven-maven-3.3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/SettingsDecrypter.java,2,36,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,38,4,5,3.0,0.0,29,2.0,3,3,0,0.0,0.0,0.0,0.0,0,5.8,0,0,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4,maven-maven-3.3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/SettingsDecryptionRequest.java,2,61,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,65,9,11,9.0,0.0,45,8.0,9,9,0,0.0,0.0,0.0,0.0,0,4.09,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0
5,maven-maven-3.3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/DefaultSettingsDecryptionResult.java,3,68,1,3,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,3.0,6.0,0.0,0.0,0.0,6.0,81,14,44,22.0,8.0,23,17.0,24,16,8,4.0,4.0,4.0,1.0,0,0.52,11,11,11,6,1.0,0.0,0.0,6.0,0.0,6.0,1.0,55.0,6.0,3.0,1.0,0.0,0.0,6.0,0.0,6.0,1.0,55.0,6.0,3.0,1.0,0.0,0.0,6.0,0.0,6.0,1.0,55.0,6.0,3.0,1
6,maven-maven-3.3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/SettingsDecryptionResult.java,2,67,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,71,10,13,11.0,0.0,48,10.0,11,11,0,0.0,0.0,0.0,0.0,0,3.69,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0
7,maven-maven-3.3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/crypto/DefaultSettingsDecrypter.java,3,93,1,3,4.0,4.0,4.0,1.0,29.0,5.0,24.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,111,18,70,24.0,26.0,23,28.0,38,21,17,6.0,6.0,6.0,1.0,2,0.33,8,8,8,2,6.0,0.0,0.0,2.0,1.0,1.0,1.0,50.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,50.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,50.0,2.0,1.0,0
8,maven-maven-3.3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/merge/MavenSettingsMerger.java,1,119,0,1,5.0,5.0,5.0,1.0,33.0,5.0,24.0,4.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,142,23,83,19.0,36.0,36,31.0,52,22,30,11.0,11.0,12.0,1.0,3,0.43,16,16,17,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,0.3333333333333333,0.0,0
9,maven-maven-3.3.0/maven-settings-builder/src/main/java/org/apache/maven/settings/io/SettingsWriter.java,2,70,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,74,8,16,14.0,0.0,50,10.0,11,11,0,0.0,0.0,0.0,0.0,0,3.12,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0
