,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
2092,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nth/nth_client.c,35.0,137.0,12.0,244.0,889.0,157.0,5.0,5.0,7.0,2.0,184.0,35.0,137.0,12.0,0.0,44.0,1274.0,244.0,846.0,235.0,446.0,157.0,3.0,43.0,422.0,707.0,229.0,15.0,463.0,26.0,26.0,45.0,6.0,4.0,0.19,214.0,214.0,287.0,91.0,11,1051,21,2,0
2093,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nth/nth_server.c,6.0,26.0,1.0,257.0,928.0,155.0,7.0,7.0,11.0,3.0,32.0,6.0,26.0,1.0,0.0,30.0,1328.0,257.0,888.0,240.0,500.0,155.0,3.0,40.0,477.0,747.0,234.0,6.0,507.0,47.0,47.0,73.0,15.0,4.0,0.17,223.0,223.0,329.0,92.0,12,1173,102,2,0
2094,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nth/nth_tag.c,0.0,0.0,0.0,11.0,22.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,11.0,13.0,0.0,1.0,49.0,0.0,9.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,2,72,1,1,0
2095,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nth/test_nth.c,9.0,37.0,0.0,198.0,730.0,36.0,48.0,48.0,56.0,10.0,46.0,9.0,37.0,0.0,0.0,17.0,963.0,198.0,684.0,134.0,194.0,36.0,14.0,36.0,430.0,1846.0,215.0,5.0,1626.0,221.0,221.0,304.0,44.0,4.0,0.05,820.0,820.0,949.0,184.0,5,838,73,1,0
2096,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/check_etsi.c,4.0,15.0,0.0,86.0,235.0,41.0,5.0,5.0,6.0,1.0,19.0,4.0,15.0,0.0,0.0,14.0,362.0,86.0,219.0,41.0,80.0,41.0,0.0,16.0,137.0,215.0,49.0,0.0,166.0,9.0,9.0,13.0,5.0,3.0,0.19,66.0,66.0,78.0,26.0,10,368,92,2,0
2097,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/check_nua.c,3.0,17.0,0.0,102.0,359.0,59.0,4.0,4.0,4.0,1.0,21.0,3.0,17.0,0.0,0.0,18.0,521.0,102.0,337.0,324.0,224.0,59.0,1.0,21.0,188.0,282.0,81.0,8.0,193.0,13.0,13.0,15.0,5.0,3.0,0.18,63.0,63.0,77.0,30.0,13,495,76,2,0
2098,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/check_register.c,6.0,21.0,0.0,208.0,626.0,54.0,5.0,5.0,6.0,1.0,27.0,6.0,21.0,0.0,0.0,25.0,885.0,192.0,544.0,106.0,304.0,47.0,90.0,14.0,400.0,420.0,70.0,0.0,350.0,24.0,24.0,24.0,5.0,3.0,0.09,131.0,131.0,144.0,31.0,13,852,175,3,0
2099,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/check_session.c,7.0,25.0,0.0,886.0,2702.0,88.0,6.0,6.0,7.0,1.0,32.0,7.0,25.0,0.0,0.0,104.0,3670.0,875.0,2649.0,299.0,1227.0,88.0,45.0,20.0,1847.0,2278.0,438.0,2.0,1838.0,17.0,17.0,21.0,5.0,3.0,0.03,637.0,637.0,681.0,150.0,36,3632,848,3,0
2100,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/check_simple.c,4.0,21.0,0.0,157.0,674.0,43.0,5.0,5.0,5.0,1.0,25.0,4.0,21.0,0.0,0.0,29.0,873.0,157.0,658.0,118.0,323.0,43.0,0.0,16.0,402.0,540.0,127.0,0.0,413.0,10.0,10.0,16.0,5.0,3.0,0.07,136.0,136.0,154.0,47.0,10,836,120,2,0
2101,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua.c,1.0,7.0,0.0,121.0,417.0,558.0,7.0,7.0,11.0,4.0,8.0,1.0,6.0,0.0,0.0,53.0,1091.0,121.0,364.0,93.0,88.0,558.0,14.0,39.0,154.0,947.0,176.0,26.0,745.0,10.0,10.0,17.0,6.0,4.0,1.53,347.0,347.0,565.0,216.0,14,1474,504,3,0
