Name,NumRevision,NumAdded,NumDeleted,NumAuthor
freeswitch-1.8.0/html5/verto/js/jsmin.c,1,278,0,1
freeswitch-1.8.0/tests/unit/switch_hash.c,3,127,10,1
freeswitch-1.8.0/tests/unit/switch_event.c,4,110,22,1
freeswitch-1.8.0/libs/freetdm/mod_freetdm/mod_freetdm.c,312,7704,2744,24
freeswitch-1.8.0/libs/freetdm/mod_freetdm/tdm.c,45,735,88,10
freeswitch-1.8.0/libs/freetdm/sample/dso/ftdmload.c,3,147,1,1
freeswitch-1.8.0/libs/freetdm/sample/sched/ftdmsched.c,2,93,1,1
freeswitch-1.8.0/libs/freetdm/src/libteletone_detect.c,24,747,317,6
freeswitch-1.8.0/libs/freetdm/src/ftdm_cpu_monitor.c,8,295,26,4
freeswitch-1.8.0/libs/freetdm/src/testtones.c,6,72,9,3
freeswitch-1.8.0/libs/freetdm/src/ftdm_state.c,30,638,116,5
freeswitch-1.8.0/libs/freetdm/src/ftdm_variables.c,3,143,10,1
freeswitch-1.8.0/libs/freetdm/src/ftdm_threadmutex.c,23,670,110,8
freeswitch-1.8.0/libs/freetdm/src/priserver.c,14,323,46,5
freeswitch-1.8.0/libs/freetdm/src/hashtable_itr.c,12,263,94,4
freeswitch-1.8.0/libs/freetdm/src/ftdm_io.c,381,9297,3196,23
freeswitch-1.8.0/libs/freetdm/src/ftdm_config.c,11,342,18,4
freeswitch-1.8.0/libs/freetdm/src/ftdm_queue.c,5,208,12,2
freeswitch-1.8.0/libs/freetdm/src/ftdm_dso.c,5,115,7,2
freeswitch-1.8.0/libs/freetdm/src/g711.c,4,131,38,3
freeswitch-1.8.0/libs/freetdm/src/fsk.c,9,338,35,3
freeswitch-1.8.0/libs/freetdm/src/testapp.c,24,146,68,6
freeswitch-1.8.0/libs/freetdm/src/testr2.c,12,208,62,4
freeswitch-1.8.0/libs/freetdm/src/testpri.c,9,187,53,5
freeswitch-1.8.0/libs/freetdm/src/ftdm_sched.c,16,599,116,7
freeswitch-1.8.0/libs/freetdm/src/ftdm_buffer.c,5,250,4,3
freeswitch-1.8.0/libs/freetdm/src/ftdm_call_utils.c,6,264,63,2
freeswitch-1.8.0/libs/freetdm/src/detect_tones.c,4,30,5,3
freeswitch-1.8.0/libs/freetdm/src/libteletone_generate.c,29,617,155,7
freeswitch-1.8.0/libs/freetdm/src/detect_dtmf.c,5,51,8,4
freeswitch-1.8.0/libs/freetdm/src/sangoma_pri.c,9,266,51,5
freeswitch-1.8.0/libs/freetdm/src/hashtable.c,17,498,182,5
freeswitch-1.8.0/libs/freetdm/src/ftdm_callerid.c,2,251,1,1
freeswitch-1.8.0/libs/freetdm/src/testisdn.c,17,105,45,5
freeswitch-1.8.0/libs/freetdm/src/ftdm_backtrace.c,3,62,1,2
freeswitch-1.8.0/libs/freetdm/src/testanalog.c,27,207,93,7
freeswitch-1.8.0/libs/freetdm/src/testcid.c,13,149,60,3
freeswitch-1.8.0/libs/freetdm/src/uart.c,6,115,8,2
freeswitch-1.8.0/libs/freetdm/src/isdn/5ESSStateTE.c,8,751,508,5
freeswitch-1.8.0/libs/freetdm/src/isdn/Q932mes.c,9,680,490,3
freeswitch-1.8.0/libs/freetdm/src/isdn/DMSmes.c,3,352,75,2
freeswitch-1.8.0/libs/freetdm/src/isdn/Q931StateTE.c,24,3121,2049,3
freeswitch-1.8.0/libs/freetdm/src/isdn/Q931api.c,28,1377,883,4
freeswitch-1.8.0/libs/freetdm/src/isdn/nationalStateTE.c,9,346,161,2
freeswitch-1.8.0/libs/freetdm/src/isdn/nationalmes.c,18,482,257,3
freeswitch-1.8.0/libs/freetdm/src/isdn/EuroISDNStateTE.c,4,114,66,3
freeswitch-1.8.0/libs/freetdm/src/isdn/DMSStateNT.c,2,169,60,2
freeswitch-1.8.0/libs/freetdm/src/isdn/nationalStateNT.c,6,179,67,2
freeswitch-1.8.0/libs/freetdm/src/isdn/Q931.c,38,2260,1577,3
freeswitch-1.8.0/libs/freetdm/src/isdn/Q921.c,30,4738,1965,4
freeswitch-1.8.0/libs/freetdm/src/isdn/Q931StateNT.c,11,2856,1863,3
freeswitch-1.8.0/libs/freetdm/src/isdn/Q931ie.c,44,7694,5348,3
freeswitch-1.8.0/libs/freetdm/src/isdn/5ESSStateNT.c,5,348,235,5
freeswitch-1.8.0/libs/freetdm/src/isdn/5ESSmes.c,9,934,641,5
freeswitch-1.8.0/libs/freetdm/src/isdn/mfifo.c,5,788,494,3
freeswitch-1.8.0/libs/freetdm/src/isdn/Q931mes.c,26,5200,3691,3
freeswitch-1.8.0/libs/freetdm/src/isdn/DMSStateTE.c,5,384,146,2
freeswitch-1.8.0/libs/freetdm/src/isdn/EuroISDNStateNT.c,3,89,54,3
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_analog_em/ftmod_analog_em.c,32,1136,93,7
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_pika/ftmod_pika.c,8,1359,52,3
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_isdn/ftmod_isdn.c,42,3649,1125,8
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_zt/ftmod_zt.c,56,1897,484,11
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_misdn/ftmod_misdn.c,32,2890,439,1
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_analog/ftmod_analog.c,43,1308,147,9
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_gsm/ftmod_gsm.c,33,2383,1027,4
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_pritap/ftmod_pritap.c,24,1198,196,4
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_wanpipe/ftmod_wanpipe.c,102,2350,653,11
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_skel/ftmod_skel.c,7,180,22,4
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_stack_cntrl.c,14,448,127,4
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_trace.c,28,993,68,3
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_transfer.c,4,245,4,2
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn.c,90,2414,880,10
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_support.c,78,2034,490,8
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_stack_cfg.c,34,1459,396,5
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_stack_out.c,53,943,455,3
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_stack_rcv.c,42,1402,440,7
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_cfg.c,43,777,140,4
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_cntrl.c,8,93,10,2
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_isdn/ftmod_sangoma_isdn_stack_hndl.c,82,1896,593,6
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_r2/ftmod_r2.c,120,3526,1384,9
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_r2/ftmod_r2_io_mf_lib.c,2,146,1,2
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_cntrl.c,15,1392,706,5
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_logger.c,23,1185,147,8
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_m2ua.c,14,2087,636,3
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_sts.c,2,56,1,2
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_relay.c,13,383,90,6
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_support.c,77,4101,1156,10
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_handle.c,94,3715,1344,11
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_sta.c,6,193,7,3
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_in.c,20,3386,2782,5
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_cfg.c,25,2018,508,6
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_cli.c,54,5095,1657,8
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_main.c,125,4606,2232,9
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_m2ua_xml.c,11,694,105,4
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_xml.c,73,6107,2974,8
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_timers.c,9,145,17,4
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_sangoma_ss7/ftmod_sangoma_ss7_out.c,65,1889,975,6
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_libpri/lpwrap_pri.c,19,576,181,9
freeswitch-1.8.0/libs/freetdm/src/ftmod/ftmod_libpri/ftmod_libpri.c,103,4015,1181,13
freeswitch-1.8.0/libs/libscgi/testclient.c,2,28,1,1
freeswitch-1.8.0/libs/libscgi/testserver.c,3,33,3,1
freeswitch-1.8.0/libs/libscgi/perl/perlxsi.c,1,12,0,1
freeswitch-1.8.0/libs/libscgi/src/scgi.c,12,633,37,4
freeswitch-1.8.0/libs/esl/testclient.c,7,38,20,2
freeswitch-1.8.0/libs/esl/fs_cli.c,179,3017,1237,19
freeswitch-1.8.0/libs/esl/testserver.c,10,65,18,4
freeswitch-1.8.0/libs/esl/testserver_fork.c,2,60,2,2
freeswitch-1.8.0/libs/esl/ivrd.c,16,197,48,7
freeswitch-1.8.0/libs/esl/getopt/getopt_long.c,1,479,0,1
freeswitch-1.8.0/libs/esl/perl/perlxsi.c,2,20,6,2
