Name,NumRevision,NumAdded,NumDeleted,NumAuthor
mpv-0.3.0/input/cmd_list.c,1,253,0,1
mpv-0.3.0/input/lirc.c,31,403,287,11
mpv-0.3.0/stream/stream_dvd_common.c,23,145,27,10
mpv-0.3.0/stream/stream_cdda.c,66,1120,716,12
mpv-0.3.0/stream/stream_memory.c,7,77,10,1
mpv-0.3.0/stream/stream_dvb.c,66,1045,366,9
mpv-0.3.0/stream/stream_vcd.c,55,334,176,14
mpv-0.3.0/stream/ai_sndio.c,3,40,3,2
mpv-0.3.0/stream/stream_dvdnav.c,153,2238,1572,12
mpv-0.3.0/stream/stream_avdevice.c,7,46,14,1
mpv-0.3.0/stream/stream_edl.c,1,16,0,1
mpv-0.3.0/stream/cookies.c,23,334,182,6
mpv-0.3.0/stream/ai_oss.c,15,198,64,6
mpv-0.3.0/stream/frequencies.c,5,1200,34,4
mpv-0.3.0/stream/stream_tv.c,33,213,111,8
mpv-0.3.0/stream/cdinfo.c,18,193,71,7
mpv-0.3.0/stream/stream_dvd.c,143,1742,761,19
mpv-0.3.0/stream/tvi_v4l2.c,62,3147,1526,12
mpv-0.3.0/stream/stream_pvr.c,31,2046,603,9
mpv-0.3.0/stream/tvi_dummy.c,14,160,45,5
mpv-0.3.0/stream/stream_bluray.c,32,451,119,8
mpv-0.3.0/stream/cache.c,25,1388,855,3
mpv-0.3.0/stream/stream_lavf.c,37,400,101,3
mpv-0.3.0/stream/stream_null.c,11,63,31,4
mpv-0.3.0/stream/stream_rar.c,5,183,4,1
mpv-0.3.0/stream/stream_file.c,59,454,282,13
mpv-0.3.0/stream/audio_in.c,19,366,88,7
mpv-0.3.0/stream/dvb_tune.c,30,971,603,7
mpv-0.3.0/stream/ai_alsa1x.c,19,252,90,9
mpv-0.3.0/stream/stream_smb.c,37,247,129,12
mpv-0.3.0/stream/rar.c,5,393,8,1
mpv-0.3.0/stream/stream.c,198,2329,1405,21
mpv-0.3.0/stream/stream_mf.c,12,69,31,5
mpv-0.3.0/stream/stream_radio.c,67,1756,890,10
mpv-0.3.0/stream/tv.c,109,1909,955,14
mpv-0.3.0/stream/resolve/resolve_quvi9.c,4,157,14,1
mpv-0.3.0/stream/resolve/resolve_quvi.c,4,103,5,1
mpv-0.3.0/sub/sd_srt.c,10,461,19,2
mpv-0.3.0/sub/sd_movtext.c,3,50,1,1
mpv-0.3.0/sub/sd_spu.c,10,138,27,3
mpv-0.3.0/sub/ass_mp.c,55,604,391,8
mpv-0.3.0/sub/osd_libass.c,50,759,363,6
mpv-0.3.0/sub/osd.c,11,354,24,1
mpv-0.3.0/sub/sd_lavf_srt.c,3,88,2,2
mpv-0.3.0/sub/img_convert.c,19,694,361,1
mpv-0.3.0/sub/find_subfiles.c,34,714,491,6
mpv-0.3.0/sub/osd_dummy.c,5,44,18,2
mpv-0.3.0/sub/draw_bmp.c,34,1274,773,4
