,Name,NumRevision,NumAdded,NumDeleted,NumAuthor,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassCoupledamin,CountDeclClassMethodamin,CountDeclClassVariableamin,CountDeclMethodAllamin,CountDeclMethodPrivateamin,CountDeclMethodPublicamin,MaxInheritanceTreeamin,PercentLackOfCohesionamin,CountDeclInstanceMethodamin,CountDeclInstanceVariableamin,CountClassCoupledamax,CountDeclClassMethodamax,CountDeclClassVariableamax,CountDeclMethodAllamax,CountDeclMethodPrivateamax,CountDeclMethodPublicamax,MaxInheritanceTreeamax,PercentLackOfCohesionamax,CountDeclInstanceMethodamax,CountDeclInstanceVariableamax,CountClassCoupledaverage,CountDeclClassMethodaverage,CountDeclClassVariableaverage,CountDeclMethodAllaverage,CountDeclMethodPrivateaverage,CountDeclMethodPublicaverage,MaxInheritanceTreeaverage,PercentLackOfCohesionaverage,CountDeclInstanceMethodaverage,CountDeclInstanceVariableaverage,Label
716,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/project/artifact/ProjectArtifactMetadata.java,5,118,6,3,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,12.0,13.0,131,19,82,30,43,26,17,3.0,3.0,2.0,1,0.37,15,15,15,13,3.0,0.0,0.0,19.0,1.0,11.0,3.0,66.0,12.0,1.0,3.0,0.0,0.0,19.0,1.0,11.0,3.0,66.0,12.0,1.0,3.0,0.0,0.0,19.0,1.0,11.0,3.0,66.0,12.0,1.0,0
717,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/project/artifact/ArtifactWithDependencies.java,3,26,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,33,7,8,18,6,6,0,0.0,0.0,0.0,0,2.25,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0
718,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/project/artifact/ActiveProjectArtifact.java,1,341,0,1,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,1.0,50.0,50.0,404,63,264,77,142,68,74,9.0,9.0,8.0,1,0.29,60,60,60,57,8.0,0.0,0.0,50.0,0.0,50.0,1.0,49.0,50.0,2.0,8.0,0.0,0.0,50.0,0.0,50.0,1.0,49.0,50.0,2.0,8.0,0.0,0.0,50.0,0.0,50.0,1.0,49.0,50.0,2.0,0
719,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/project/artifact/DefaultMetadataSource.java,1,33,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37,4,8,25,4,4,0,0.0,0.0,0.0,0,3.12,0,0,0,0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0
720,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/project/artifact/MavenMetadataCache.java,5,48,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,38,7,13,18,9,9,0,0.0,0.0,0.0,0,1.38,0,0,0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0
721,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/project/artifact/MavenMetadataSource.java,60,1455,802,3,4.0,4.0,4.0,1.0,30.0,4.0,25.0,0.0,2.0,21.0,21.0,781,128,610,43,345,153,192,19.0,19.0,6.0,5,0.07,89,89,104,40,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,39.0,4.0,0.0,21.0,14.0,7.0,1.0,93.0,17.0,7.0,20.5,2.0,0.0,10.5,7.0,3.5,1.0,46.5,8.5,5.0,0
722,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/project/artifact/InvalidDependencyVersionException.java,3,55,6,2,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,3.0,56,7,25,24,15,11,4,1.0,1.0,1.0,0,0.96,3,3,3,3,2.0,1.0,0.0,17.0,1.0,2.0,4.0,33.0,2.0,1.0,2.0,1.0,0.0,17.0,1.0,2.0,4.0,33.0,2.0,1.0,2.0,1.0,0.0,17.0,1.0,2.0,4.0,33.0,2.0,1.0,0
723,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/project/artifact/DefaultMavenMetadataCache.java,9,373,75,4,2.0,2.0,3.0,1.0,11.0,0.0,10.0,0.0,3.0,23.0,23.0,347,49,279,19,157,75,82,6.0,6.0,5.0,4,0.07,50,50,69,32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,13.0,8.0,6.0,1.0,76.0,7.0,7.0,4.0,2.0,0.0,5.75,2.0,3.0,1.0,44.0,3.75,3.25,0
724,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/project/artifact/PluginArtifact.java,4,83,3,4,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,10.0,10.0,94,14,62,18,34,21,13,1.0,1.0,1.0,0,0.29,10,10,10,10,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,61.0,0.0,7.0,2.0,33.0,7.0,1.0,0.5,0.0,0.0,34.0,0.0,5.0,1.5,16.5,5.0,0.5,0
725,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/classrealm/ArtifactClassRealmConstituent.java,3,66,4,1,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,8.0,8.0,76,14,41,21,21,13,8,1.0,1.0,1.0,0,0.51,8,8,8,8,0.0,0.0,0.0,8.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,0.0,8.0,1.0,0
726,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/classrealm/DefaultClassRealmManager.java,15,568,231,1,2.0,2.0,2.0,1.0,18.0,2.0,14.0,1.0,1.0,17.0,17.0,405,68,283,54,170,71,99,15.0,15.0,3.0,3,0.19,47,47,47,19,7.0,5.0,0.0,17.0,13.0,4.0,1.0,84.0,12.0,3.0,7.0,5.0,0.0,17.0,13.0,4.0,1.0,84.0,12.0,3.0,7.0,5.0,0.0,17.0,13.0,4.0,1.0,84.0,12.0,3.0,0
727,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/classrealm/ClassRealmRequest.java,2,76,2,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,86,12,16,58,8,8,0,1.0,1.0,1.0,0,3.62,2,2,2,2,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0
728,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/classrealm/DefaultClassRealmRequest.java,1,55,0,1,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,5.0,5.0,68,13,34,21,20,12,8,1.0,1.0,1.0,0,0.62,5,5,5,5,1.0,0.0,0.0,5.0,0.0,5.0,1.0,60.0,5.0,4.0,1.0,0.0,0.0,5.0,0.0,5.0,1.0,60.0,5.0,4.0,1.0,0.0,0.0,5.0,0.0,5.0,1.0,60.0,5.0,4.0,0
729,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/classrealm/ClassRealmManager.java,7,81,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,78,9,13,56,11,11,0,0.0,0.0,0.0,0,4.31,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0
730,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/classrealm/ClassRealmConstituent.java,1,64,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,74,10,11,53,9,9,0,0.0,0.0,0.0,0,4.82,0,0,0,0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0
731,maven-maven-3.0/maven-core/src/main/java/org/apache/maven/classrealm/ClassRealmManagerDelegate.java,2,31,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,36,6,6,24,4,4,0,0.0,0.0,0.0,0,4.0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
