,Name,NumRevision,NumAdded,NumDeleted,NumAuthor,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassCoupledamin,CountDeclClassMethodamin,CountDeclClassVariableamin,CountDeclMethodAllamin,CountDeclMethodPrivateamin,CountDeclMethodPublicamin,MaxInheritanceTreeamin,PercentLackOfCohesionamin,CountDeclInstanceMethodamin,CountDeclInstanceVariableamin,CountClassCoupledamax,CountDeclClassMethodamax,CountDeclClassVariableamax,CountDeclMethodAllamax,CountDeclMethodPrivateamax,CountDeclMethodPublicamax,MaxInheritanceTreeamax,PercentLackOfCohesionamax,CountDeclInstanceMethodamax,CountDeclInstanceVariableamax,CountClassCoupledaverage,CountDeclClassMethodaverage,CountDeclClassVariableaverage,CountDeclMethodAllaverage,CountDeclMethodPrivateaverage,CountDeclMethodPublicaverage,MaxInheritanceTreeaverage,PercentLackOfCohesionaverage,CountDeclInstanceMethodaverage,CountDeclInstanceVariableaverage,Label
0,guava-20.0/guava-gwt/test/com/google/common/GuavaTestsEntryPoint.java,1,26,0,1,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,29.0,3.0,6.0,20.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,3.33,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
1,guava-20.0/guava-gwt/test/com/google/common/GwtTestSuite.java,3,48,5,3,3.0,3.0,3.0,1.0,14.0,0.0,13.0,1.0,1.0,1.0,1.0,48.0,5.0,23.0,20.0,18.0,14.0,4.0,3.0,3.0,1.0,2.0,0.87,3,3,3,1,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0
2,guava-20.0/guava-gwt/test/com/google/common/escape/TestModuleEntryPoint.java,5,78,52,3,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,30.0,4.0,6.0,20.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,3.33,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
3,guava-20.0/guava-gwt/test/com/google/common/escape/ArrayBasedUnicodeEscaperTest_gwt.java,1,41,0,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,6.0,6.0,45.0,4.0,26.0,15.0,19.0,13.0,6.0,1.0,1.0,1.0,0.0,0.58,6,6,6,6,1.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,6.0,0.0,0
4,guava-20.0/guava-gwt/test/com/google/common/escape/EscapersTest_gwt.java,1,45,0,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,7.0,7.0,50.0,5.0,30.0,15.0,22.0,15.0,7.0,1.0,1.0,1.0,0.0,0.5,7,7,7,7,1.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,7.0,0.0,0
5,guava-20.0/guava-gwt/test/com/google/common/escape/ArrayBasedCharEscaperTest_gwt.java,1,37,0,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,5.0,5.0,40.0,3.0,22.0,15.0,16.0,11.0,5.0,1.0,1.0,1.0,0.0,0.68,5,5,5,5,1.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,5.0,0.0,0
6,guava-20.0/guava-gwt/test/com/google/common/escape/UnicodeEscaperTest_gwt.java,1,57,0,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,10.0,10.0,65.0,8.0,42.0,15.0,31.0,21.0,10.0,1.0,1.0,1.0,0.0,0.36,10,10,10,10,1.0,0.0,0.0,10.0,0.0,10.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,10.0,0.0,10.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,10.0,0.0,10.0,2.0,0.0,10.0,0.0,0
7,guava-20.0/guava-gwt/test/com/google/common/escape/ArrayBasedEscaperMapTest_gwt.java,1,37,0,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,5.0,5.0,40.0,3.0,22.0,15.0,16.0,11.0,5.0,1.0,1.0,1.0,0.0,0.68,5,5,5,5,1.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,5.0,0.0,0
8,guava-20.0/guava-gwt/test/com/google/common/collect/EnumBiMapTest_gwt.java,1,61,0,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,11.0,11.0,70.0,9.0,46.0,15.0,34.0,23.0,11.0,1.0,1.0,1.0,0.0,0.33,11,11,11,11,1.0,0.0,0.0,11.0,0.0,11.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,2.0,0.0,11.0,0.0,0
9,guava-20.0/guava-gwt/test/com/google/common/collect/ForMapMultimapAsMapImplementsMapTest_gwt.java,1,245,0,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,57.0,57.0,300.0,55.0,230.0,15.0,172.0,115.0,57.0,1.0,1.0,1.0,0.0,0.07,57,57,57,57,3.0,0.0,0.0,57.0,0.0,57.0,2.0,0.0,57.0,0.0,3.0,0.0,0.0,57.0,0.0,57.0,2.0,0.0,57.0,0.0,3.0,0.0,0.0,57.0,0.0,57.0,2.0,0.0,57.0,0.0,0
10,guava-20.0/guava-gwt/test/com/google/common/collect/HashMultimapTest_gwt.java,21,586,545,4,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,6.0,6.0,45.0,4.0,26.0,15.0,19.0,13.0,6.0,1.0,1.0,1.0,0.0,0.58,6,6,6,6,1.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,6.0,0.0,0
11,guava-20.0/guava-gwt/test/com/google/common/collect/ForwardingSortedMapImplementsMapTest_gwt.java,2,305,48,2,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,60.0,60.0,315.0,58.0,242.0,15.0,181.0,121.0,60.0,1.0,1.0,1.0,0.0,0.06,60,60,60,60,3.0,0.0,0.0,60.0,0.0,60.0,2.0,0.0,60.0,0.0,3.0,0.0,0.0,60.0,0.0,60.0,2.0,0.0,60.0,0.0,3.0,0.0,0.0,60.0,0.0,60.0,2.0,0.0,60.0,0.0,0
12,guava-20.0/guava-gwt/test/com/google/common/collect/EvictingQueueTest_gwt.java,2,61,0,2,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,11.0,11.0,70.0,9.0,46.0,15.0,34.0,23.0,11.0,1.0,1.0,1.0,0.0,0.33,11,11,11,11,1.0,0.0,0.0,11.0,0.0,11.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,2.0,0.0,11.0,0.0,0
13,guava-20.0/guava-gwt/test/com/google/common/collect/SetsTest_gwt.java,1,265,0,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,62.0,62.0,326.0,61.0,250.0,15.0,187.0,125.0,62.0,1.0,1.0,1.0,0.0,0.06,62,62,62,62,1.0,0.0,0.0,62.0,0.0,62.0,2.0,0.0,62.0,0.0,1.0,0.0,0.0,62.0,0.0,62.0,2.0,0.0,62.0,0.0,1.0,0.0,0.0,62.0,0.0,62.0,2.0,0.0,62.0,0.0,0
14,guava-20.0/guava-gwt/test/com/google/common/collect/ImmutableSetTest_gwt.java,1,201,0,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,46.0,46.0,245.0,44.0,186.0,15.0,139.0,93.0,46.0,1.0,1.0,1.0,0.0,0.08,46,46,46,46,2.0,0.0,0.0,46.0,0.0,46.0,2.0,0.0,46.0,0.0,2.0,0.0,0.0,46.0,0.0,46.0,2.0,0.0,46.0,0.0,2.0,0.0,0.0,46.0,0.0,46.0,2.0,0.0,46.0,0.0,1
15,guava-20.0/guava-gwt/test/com/google/common/collect/ImmutableTableTest_gwt.java,5,245,19,4,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,42.0,42.0,266.0,40.0,211.0,15.0,168.0,85.0,83.0,1.0,1.0,1.0,0.0,0.07,42,42,42,42,2.0,0.0,0.0,42.0,0.0,42.0,2.0,0.0,42.0,0.0,2.0,0.0,0.0,42.0,0.0,42.0,2.0,0.0,42.0,0.0,2.0,0.0,0.0,42.0,0.0,42.0,2.0,0.0,42.0,0.0,1
