,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
298,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/TomcatPublicMetricsTests.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,74.0,12.0,41.0,25.0,15.0,21.0,21.0,27.0,19.0,8.0,1.0,1.0,1.0,1.0,1.0,0.51,3,3,3,3,5,69,7,3,0
299,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/TraceEndpointTests.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,60.0,10.0,30.0,21.0,6.0,20.0,16.0,21.0,17.0,4.0,1.0,1.0,1.0,1.0,0.0,0.67,3,3,3,3,8,63,13,4,0
300,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/jmx/EndpointMBeanExporterTests.java,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,4.0,0.0,0.0,20.0,20.0,20.0,1.0,20.0,0.0,2.0,0.0,18.0,316.0,35.0,260.0,100.0,163.0,21.0,138.0,164.0,75.0,89.0,2.0,2.0,2.0,1.0,1.0,0.08,22,22,22,20,20,529,251,6,0
301,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/EndpointHandlerMappingTests.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,4.0,0.0,0.0,14.0,14.0,14.0,2.0,14.0,3.0,1.0,0.0,10.0,177.0,28.0,128.0,68.0,67.0,21.0,70.0,88.0,50.0,38.0,1.0,1.0,1.0,1.0,0.0,0.16,14,14,14,14,19,317,168,6,0
302,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/EnvironmentMvcEndpointTests.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,6.0,6.0,6.0,2.0,6.0,0.0,0.0,0.0,6.0,119.0,17.0,81.0,56.0,18.0,21.0,44.0,52.0,41.0,11.0,1.0,1.0,1.0,1.0,0.0,0.26,6,6,6,6,27,174,72,6,0
303,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/HalBrowserMvcEndpointBrowserPathIntegrationTests.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,85.0,13.0,51.0,39.0,9.0,21.0,26.0,31.0,28.0,3.0,1.0,1.0,1.0,1.0,0.0,0.41,3,3,3,3,8,87,15,2,1
304,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/HalBrowserMvcEndpointDisabledIntegrationTests.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,1.0,0.0,5.0,5.0,4.0,3.0,5.0,0.0,0.0,0.0,5.0,107.0,16.0,70.0,45.0,19.0,21.0,33.0,43.0,34.0,9.0,4.0,4.0,5.0,3.0,2.0,0.3,8,8,9,7,8,105,14,4,1
305,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/HalBrowserMvcEndpointEndpointsDisabledIntegrationTests.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,6.0,6.0,6.0,3.0,6.0,0.0,0.0,0.0,6.0,99.0,17.0,61.0,43.0,10.0,21.0,27.0,35.0,29.0,6.0,1.0,1.0,1.0,1.0,0.0,0.34,6,6,6,6,7,96,14,2,0
306,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/HalBrowserMvcEndpointManagementContextPathIntegrationTests.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,8.0,8.0,8.0,3.0,8.0,0.0,0.0,0.0,8.0,135.0,19.0,94.0,55.0,29.0,23.0,41.0,54.0,40.0,14.0,5.0,5.0,5.0,3.0,2.0,0.24,12,12,12,10,13,138,22,4,1
307,spring-boot-1.4.0.RELEASE/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/mvc/HalBrowserMvcEndpointServerContextPathIntegrationTests.java,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,6.0,6.0,1.0,6.0,0.0,0.0,0.0,6.0,129.0,16.0,91.0,60.0,39.0,27.0,51.0,59.0,42.0,17.0,1.0,1.0,1.0,1.0,0.0,0.3,6,6,6,6,15,154,41,4,1
